Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status
7023027,FLEX,Jabari Walker,Portland Trail Blazers,Chicago Bulls,11440,19.71,25.42,"EXPECTED STARTER, PLAYER IS INJURED BUT IS A GAME TIME DECISION TO PLAY"
7023027,CAP,Jabari Walker,Portland Trail Blazers,Chicago Bulls,11440,19.71,25.42,"EXPECTED STARTER, PLAYER IS INJURED BUT IS A GAME TIME DECISION TO PLAY"
7023063,C,Ibou Badji,Portland Trail Blazers,Chicago Bulls,6000,10.13,7.58,
7023063,FLEX,Ibou Badji,Portland Trail Blazers,Chicago Bulls,6000,10.13,7.58,
7023063,CAP,Ibou Badji,Portland Trail Blazers,Chicago Bulls,6000,10.13,7.58,
7023097,SF,Justin Minaya,Portland Trail Blazers,Chicago Bulls,6000,4.98,4.08,
7023097,FLEX,Justin Minaya,Portland Trail Blazers,Chicago Bulls,6000,4.98,4.08,
7023097,CAP,Justin Minaya,Portland Trail Blazers,Chicago Bulls,6000,4.98,4.08,
7023124,SF,Kris Murray,Portland Trail Blazers,Chicago Bulls,6000,8.61,5.83,
7023124,PF,Kris Murray,Portland Trail Blazers,Chicago Bulls,6000,8.61,5.83,
7023124,FLEX,Kris Murray,Portland Trail Blazers,Chicago Bulls,6000,8.61,5.83,
7023124,CAP,Kris Murray,Portland Trail Blazers,Chicago Bulls,6000,8.61,5.83,
7023131,SF,Julian Phillips,Chicago Bulls,Portland Trail Blazers,6000,2.26,5.42,
7023131,FLEX,Julian Phillips,Chicago Bulls,Portland Trail Blazers,6000,2.26,5.42,
7023131,CAP,Julian Phillips,Chicago Bulls,Portland Trail Blazers,6000,2.26,5.42,
7023148,PF,Toumani Camara,Portland Trail Blazers,Chicago Bulls,6550,17.23,16.42,
7023148,SF,Toumani Camara,Portland Trail Blazers,Chicago Bulls,6550,17.23,16.42,
7023148,FLEX,Toumani Camara,Portland Trail Blazers,Chicago Bulls,6550,17.23,16.42,
7023148,CAP,Toumani Camara,Portland Trail Blazers,Chicago Bulls,6550,17.23,16.42,
7023156,SG,Rayan Rupert,Portland Trail Blazers,Chicago Bulls,6000,5.78,11.17,
7023156,SF,Rayan Rupert,Portland Trail Blazers,Chicago Bulls,6000,5.78,11.17,
7023156,FLEX,Rayan Rupert,Portland Trail Blazers,Chicago Bulls,6000,5.78,11.17,
7023156,CAP,Rayan Rupert,Portland Trail Blazers,Chicago Bulls,6000,5.78,11.17,
7023159,C,Adama Sanogo,Chicago Bulls,Portland Trail Blazers,6000,5,5,
7023159,FLEX,Adama Sanogo,Chicago Bulls,Portland Trail Blazers,6000,5,5,
7023159,CAP,Adama Sanogo,Chicago Bulls,Portland Trail Blazers,6000,5,5,
7023178,SG,Onuralp Bitim,Chicago Bulls,Portland Trail Blazers,6000,0,0,
7023178,FLEX,Onuralp Bitim,Chicago Bulls,Portland Trail Blazers,6000,0,0,
7023178,CAP,Onuralp Bitim,Chicago Bulls,Portland Trail Blazers,6000,0,0,
7023187,C,Duop Reath,Portland Trail Blazers,Chicago Bulls,7630,18.66,15.08,
7023187,FLEX,Duop Reath,Portland Trail Blazers,Chicago Bulls,7630,18.66,15.08,
7023187,CAP,Duop Reath,Portland Trail Blazers,Chicago Bulls,7630,18.66,15.08,
7023188,SF,Henri Drell,Chicago Bulls,Portland Trail Blazers,6000,0,0,
7023188,FLEX,Henri Drell,Chicago Bulls,Portland Trail Blazers,6000,0,0,
7023188,CAP,Henri Drell,Chicago Bulls,Portland Trail Blazers,6000,0,0,
7023217,SG,Taze Moore,Portland Trail Blazers,Chicago Bulls,6000,3,3,
7023217,FLEX,Taze Moore,Portland Trail Blazers,Chicago Bulls,6000,3,3,
7023217,CAP,Taze Moore,Portland Trail Blazers,Chicago Bulls,6000,3,3,
