,Player,Code,Pos,PER,G,MP,3P%,PTS,Salary
177,Frank Jackson,jacksfr01,PG,13.3,40,18.5,0.407,9.8,3000000.0
178,Jaren Jackson Jr.,jacksja02,C,18.0,11,23.5,0.283,14.4,9180560.0
179,Josh Jackson,jacksjo02,SG,12.0,62,25.2,0.3,13.4,5005350.0
180,Reggie Jackson,jacksre01,SG,14.2,67,23.0,0.433,10.7,10384500.0
181,LeBron James,jamesle01,PG,24.2,45,33.4,0.365,25.0,41180544.0
182,Ty Jerome,jeromty01,SG,13.4,33,23.9,0.423,10.7,2412840.0
183,Isaiah Joe,joeis01,SG,9.5,41,9.3,0.368,3.7,1517981.0
184,Alize Johnson,johnsal02,PF,23.5,18,10.5,0.167,5.2,1729217.0
185,Cameron Johnson,johnsca02,PF,11.8,60,24.0,0.349,9.6,4437000.0
186,James Johnson,johnsja01,PF,11.4,51,20.5,0.258,7.2,2641691.0
187,Keldon Johnson,johnske04,SF,13.8,69,28.5,0.331,12.8,2145720.0
188,Nikola Jokić,jokicni01,C,31.3,72,34.6,0.388,26.4,30510423.0
189,Damian Jones,jonesda03,C,14.6,39,14.0,0.2,4.7,1977011.0
190,Derrick Jones Jr.,jonesde02,SF,11.9,58,22.7,0.316,6.8,9731707.0
191,Tre Jones,jonestr01,PG,12.1,37,7.3,0.6,2.5,1517981.0
192,Tyus Jones,jonesty01,PG,15.0,70,17.5,0.321,6.3,7522200.0
193,DeAndre Jordan,jordade01,C,17.1,57,21.9,0.0,7.5,2641691.0
194,Cory Joseph,josepco01,PG,12.5,63,23.0,0.341,8.2,7310000.0
195,Frank Kaminsky,kaminfr01,C,15.8,47,15.2,0.365,6.6,2089448.0
196,Enes Kanter,kanteen01,C,22.4,72,24.4,0.25,11.2,2641691.0
197,Luke Kennard,kennalu01,SG,12.7,63,19.6,0.446,8.3,12727273.0
198,Maxi Kleber,klebima01,PF,10.6,50,26.8,0.41,7.1,8750000.0
199,Kevin Knox,knoxke01,SF,9.1,42,11.0,0.393,3.9,5845978.0
200,John Konchar,konchjo01,SG,14.8,43,13.4,0.375,4.3,2197674.0
201,Furkan Korkmaz,korkmfu01,SG,12.8,55,19.3,0.375,9.1,4629630.0
202,Kyle Kuzma,kuzmaky01,SF,12.7,68,28.7,0.361,12.9,13000000.0
203,Jeremy Lamb,lambje01,SG,15.8,36,21.3,0.406,10.1,10500000.0
204,Romeo Langford,langfro01,SG,5.1,18,15.7,0.278,3.1,3804360.0
205,Zach LaVine,lavinza01,SG,21.5,58,35.1,0.419,27.4,19500000.0
206,Jake Layman,laymaja01,SF,11.4,45,13.9,0.295,5.1,3940184.0
207,Damion Lee,leeda03,SG,11.8,57,18.9,0.397,6.5,1910860.0
208,Saben Lee,leesa01,PG,13.8,48,16.3,0.348,5.6,1489065.0
